Start,End,Distance
80049,80009,10.5
67759,67191,0.4
67191,67349,0.7
67349,67359,1.3
67359,67369,1.5
67369,67379,1.9
67379,67761,2.2
67761,67319,2.5
67319,67429,2.8
67429,67599,3.2
67599,65199,4.7
65199,95151,16.2
95151,95011,16.7
95011,95109,18.1
95109,95029,18.9
95029,95129,19.7
95129,95019,20.8
95019,95209,22.3
95209,95159,23.7
95159,65191,35.4
65191,67591,36.7
67591,67421,37.2
67421,67311,37.4
67311,67769,37.7
67769,67371,38.1
67371,67361,38.5
67361,67351,38.8
67351,67341,39.3
67341,67199,39.6
67199,67759,39.9
11009,11359,0.2
11359,11189,0.6
11189,11179,0.8
11179,11169,1.4
11169,11159,2.2
11159,11149,2.6
11149,11139,2.9
11139,10299,3.4
10299,10289,3.7
10289,10321,4.1
10321,13031,4.7
13031,13041,5.2
13041,13201,5.6
13201,09159,6.1
09159,09169,6.4
09169,09179,6.7
09179,09048,7.2
09048,09038,7.8
09038,08138,8.2
08138,08057,8.6
08057,08069,9.1
08069,04179,9.4
04179,02049,9.8
02049,02151,10.4
02151,02161,11.1
02161,02171,11.4
02171,02051,11.8
02051,02061,12.1
02061,04111,12.8
04111,04121,13.2
04121,08041,13.5
08041,08031,13.8
08031,08111,14.3
08111,08121,14.6
08121,09059,14.9
09059,09022,15.4
09022,09111,15.9
09111,09121,16.2
09121,09131,16.8
09131,13209,17.0
13209,13049,17.3
13049,13039,17.8
13039,10329,18.5
10329,10281,18.8
10281,10291,19.2
10291,11131,19.7
11131,11141,19.9
11141,11151,20.5
11151,11161,21.1
11161,11171,21.6
11171,11181,22.0
11181,11351,22.5
11351,11009,22.8
64009,64041,0.7
64041,64051,1.1
64051,64329,1.5
64329,64319,1.8
64319,64309,2.1
64309,64239,2.5
64239,64209,3.0
64209,63139,3.3
63139,63239,3.9
63239,63229,4.2
63229,63031,4.9
63031,63041,5.2
63041,63051,5.4
63051,63349,5.9
63349,63339,6.5
63339,63329,6.8
63329,63391,7.2
63391,63381,7.5
63381,63371,7.9
63371,64411,8.2
64411,64479,8.5
64479,64489,8.8
64489,64509,9.1
64509,64519,9.5
64519,64471,9.9
64471,64419,10.3
64419,63379,10.6
63379,63389,11.0
63389,63399,11.3
63399,63321,11.5
63321,63331,11.9
63331,63341,12.3
63341,63059,12.8
63059,63049,13.2
63049,63039,13.6
63039,63221,14.3
63221,63231,14.6
63231,63131,15.1
63131,64201,15.5
64201,64231,16.0
64231,64301,16.4
64301,64311,16.7
64311,64321,17.0
64321,64059,17.3
64059,64049,17.6
64049,64009,18.3
64009,64041,0.7
64041,64051,1.1
64051,64329,1.5
64329,64319,1.8
64319,64309,2.1
64309,64239,2.5
64239,64209,3.0
64209,63139,3.3
63139,63239,3.9
63239,63229,4.2
63229,63031,4.9
64009,64041,0.7
64041,64051,1.1
64051,64071,1.6
64071,64039,2.1
64039,64371,2.5
64371,64381,2.8
64381,64391,3.1
64391,63351,3.4
63351,63341,3.8
63341,63059,4.3
63059,63049,4.7
63049,63039,5.1
63039,63221,5.8
63221,63231,6.1
63231,63261,6.3
63261,63271,6.6
63271,63281,6.9
63281,63291,7.3
63291,63301,7.6
63301,62221,7.9
62221,62219,8.3
62219,62059,8.7
62059,62229,9.1
62229,63309,9.5
63309,63299,9.8
63299,63289,10.1
63289,63279,10.4
63279,63269,10.7
63269,63239,10.9
63239,63229,11.2
63229,63031,11.9
63031,63041,12.2
63041,63051,12.4
63051,63349,12.9
63349,63359,13.4
63359,64399,13.7
64399,64389,14.1
64389,64379,14.4
64379,64031,14.7
64031,64079,15.2
64079,64059,15.7
64059,64049,16.0
64049,64009,16.7
63039,63221,0.7
63221,63231,1.0
63231,63261,1.2
63261,63271,1.5
63271,63281,1.8
63281,63291,2.2
63291,63301,2.5
63301,62221,2.8
62221,62219,3.2
62219,62059,3.6
62059,62229,4.0
62229,63309,4.4
63309,63299,4.7
63299,63289,5.0
63289,63279,5.3
63279,63269,5.6
63269,63239,5.8
63239,63229,6.1
63229,63031,6.8
63221,63231,0.3
63231,63261,0.5
63261,63271,0.8
63271,63281,1.1
63281,63099,1.5
63099,63089,1.9
63089,63079,2.3
63079,63241,2.8
63241,63059,3.2
63059,63049,3.6
63049,63039,4.0
63039,63221,4.7
64009,64551,0.3
64551,64529,0.5
64529,64339,0.8
64339,64411,1.1
64411,64479,1.4
64479,64489,1.7
64489,64499,2.0
64499,66439,2.4
66439,66429,3.0
66429,66101,3.5
66101,63219,4.0
63219,63209,4.3
63209,63199,4.7
63199,63189,5.0
63189,63179,5.2
63179,63369,5.6
63369,66379,6.0
66379,66359,6.3
66359,62141,6.6
62141,63141,7.0
63141,63361,7.5
63361,63181,7.9
63181,63191,8.3
63191,63201,8.5
63201,63211,8.8
63211,66109,9.1
66109,66421,9.9
66421,66431,10.3
66431,64491,10.9
64491,64481,11.1
64481,64471,11.4
64471,64419,11.8
64419,64331,12.2
64331,64521,12.5
64521,64559,12.7
64559,64009,13.0
65009,65259,0.4
65259,65409,0.7
65409,65141,1.1
65141,65431,1.3
65431,68111,4.5
68111,68061,5.1
68061,68091,5.7
68091,68081,6.0
68081,68101,6.5
68101,68121,6.9
68121,68161,7.4
68161,68131,8.0
68131,68141,8.5
68141,68151,8.9
68151,68171,10.7
68171,59779,11.2
59779,59789,11.4
59789,59479,11.8
59479,59759,12.2
59759,59749,12.6
59749,59739,12.9
59739,59509,13.4
59509,59729,13.9
